order_date,ord_cnt
2021-06-01,48511
2021-06-02,37939
2021-06-03,36777
2021-06-04,42206
2021-06-05,61307
2021-06-06,66245
2021-06-07,43141
2021-06-08,44140
2021-06-09,41333
2021-06-10,42352
2021-06-11,50470
2021-06-12,69011
2021-06-13,74416
2021-06-14,70087
2021-06-15,44847
2021-06-16,44632
2021-06-17,40595
2021-06-18,47963
2021-06-19,59716
2021-06-20,61117
2021-06-21,39399
2021-06-22,37051
2021-06-23,36483
2021-06-24,38142
2021-06-25,41332
2021-06-26,57570
2021-06-27,60038
2021-06-28,41737
2021-06-29,40279
2021-06-30,56898
2021-07-01,40471
2021-07-02,39534
2021-07-03,56481
2021-07-04,57826
2021-07-05,39077
2021-07-06,38257
2021-07-07,38915
2021-07-08,38023
2021-07-09,41413
2021-07-10,55815
2021-07-11,59110
2021-07-12,40536
2021-07-13,39789
2021-07-14,39475
2021-07-15,40340
2021-07-16,44100
2021-07-17,54627
2021-07-18,60495
2021-07-19,39392
2021-07-20,36618
2021-07-21,34046
2021-07-22,34161
2021-07-23,36592
2021-07-24,48857
2021-07-25,49270
2021-07-26,32817
2021-07-27,30838
2021-07-28,30410
2021-07-29,43659
2021-07-30,32482
2021-07-31,40211
2021-08-01,42484
2021-08-02,28572
2021-08-03,26279
2021-08-04,25370
2021-08-05,24459
2021-08-06,26649
2021-08-07,34351
2021-08-08,36974
2021-08-09,26021
2021-08-10,25886
2021-08-11,28452
2021-08-12,29213
2021-08-13,31789
2021-08-14,59096
2021-08-15,47992
2021-08-16,30067
2021-08-17,29241
2021-08-18,30580
2021-08-19,28037
2021-08-20,34605
2021-08-21,40306
2021-08-22,43480
2021-08-23,29952
2021-08-24,31049
2021-08-25,32374
2021-08-26,32974
2021-08-27,44607
2021-08-28,47031
2021-08-29,50345
2021-08-30,33519
2021-08-31,33261
2021-09-01,32373
2021-09-02,31701
2021-09-03,33186
2021-09-04,46522
2021-09-05,52441
2021-09-06,32380
2021-09-07,32931
2021-09-08,32130
2021-09-09,33704
2021-09-10,35149
2021-09-11,50922
2021-09-12,50643
2021-09-13,30874
2021-09-14,28859
2021-09-15,30889
2021-09-16,30609
2021-09-17,32687
2021-09-18,35714
2021-09-19,51328
2021-09-20,60528
2021-09-21,59812
2021-09-22,33336
2021-09-23,30861
2021-09-24,30272
2021-09-25,45891
2021-09-26,35862
2021-09-27,36358
2021-09-28,32864
2021-09-29,44805
2021-09-30,45623
2021-10-01,82349
2021-10-02,67009
2021-10-03,57583
2021-10-04,50683
2021-10-05,50241
2021-10-06,50516
2021-10-07,50312
2021-10-08,35655
2021-10-09,35710
2021-10-10,51560
2021-10-11,37361
2021-10-12,36804
2021-10-13,33724
2021-10-14,31352
2021-10-15,33658
2021-10-16,55090
2021-10-17,64359
2021-10-18,40645
2021-10-19,34730
2021-10-20,33264
2021-10-21,35911
2021-10-22,37247
2021-10-23,51502
2021-10-24,51223
2021-10-25,28808
2021-10-26,25810
2021-10-27,26407
2021-10-28,26701
2021-10-29,29369
2021-10-30,44202
2021-10-31,50945
2021-11-01,36020
2021-11-02,31015
2021-11-03,31969
2021-11-04,29347
2021-11-05,28133
2021-11-06,40724
2021-11-07,44099
2021-11-08,35298
2021-11-09,35075
2021-11-10,36078
2021-11-11,54333
2021-11-12,37481
2021-11-13,47718
2021-11-14,49104
2021-11-15,27774
2021-11-16,27140
2021-11-17,30227
2021-11-18,29351
2021-11-19,29652
2021-11-20,43918
2021-11-21,46877
2021-11-22,28021
2021-11-23,29888
2021-11-24,29760
2021-11-25,28835
2021-11-26,32847
2021-11-27,46169
2021-11-28,48932
2021-11-29,27927
2021-11-30,34573
2021-12-01,28565
2021-12-02,27237
2021-12-03,31333
2021-12-04,47218
2021-12-05,47409
2021-12-06,26709
2021-12-07,25594
2021-12-08,27509
2021-12-09,26994
2021-12-10,32530
2021-12-11,48782
2021-12-12,58354
2021-12-13,31296
2021-12-14,28292
2021-12-15,26909
2021-12-16,25970
2021-12-17,30196
2021-12-18,46060
2021-12-19,46457
2021-12-20,25839
2021-12-21,27278
2021-12-22,27818
2021-12-23,28014
2021-12-24,33952
2021-12-25,52093
2021-12-26,53945
2021-12-27,29790
2021-12-28,31566
2021-12-29,31172
2021-12-30,41959
2021-12-31,41337
2022-01-01,81828
2022-01-02,63777
2022-01-03,48599
2022-01-04,27336
2022-01-05,27071
2022-01-06,27707
2022-01-07,32324
2022-01-08,41299
2022-01-09,46264
2022-01-10,30596
2022-01-11,32428
2022-01-12,31948
2022-01-13,32398
2022-01-14,35271
2022-01-15,51276
2022-01-16,57973
2022-01-17,40553
2022-01-18,42509
2022-01-19,43395
2022-01-20,45700
2022-01-21,48484
2022-01-22,60129
2022-01-23,80576
2022-01-24,60488
2022-01-25,65013
2022-01-26,69134
2022-01-27,82058
2022-01-28,87397
2022-01-29,101431
2022-01-30,104979
2022-01-31,37499
2022-02-01,25884
2022-02-02,23344
2022-02-03,27615
2022-02-04,31949
2022-02-05,32927
2022-02-06,30876
2022-02-07,29185
2022-02-08,28226
2022-02-09,29469
2022-02-10,28185
2022-02-11,27799
2022-02-12,32798
2022-02-13,34861
2022-02-14,34555
2022-02-15,29603
2022-02-16,24493
2022-02-17,24675
2022-02-18,24360
2022-02-19,31550
2022-02-20,35036
2022-02-21,25169
2022-02-22,24021
2022-02-23,24848
2022-02-24,24314
2022-02-25,27179
2022-02-26,39815
2022-02-27,44242
2022-02-28,33603
2022-03-01,29062
2022-03-02,30318
2022-03-03,32202
2022-03-04,35840
2022-03-05,55186
2022-03-06,54877
2022-03-07,40025
2022-03-08,68772
2022-03-09,37810
2022-03-10,36078
2022-03-11,39406
2022-03-12,50946
2022-03-13,54318
2022-03-14,32599
2022-03-15,30376
2022-03-16,23937
2022-03-17,18970
2022-03-18,22360
2022-03-19,30105
2022-03-20,26937
2022-03-21,16886
2022-03-22,14390
2022-03-23,15810
2022-03-24,42530
2022-03-25,23692
2022-03-26,30329
2022-03-27,31090
2022-03-28,24862
2022-03-29,23322
2022-03-30,17400
2022-03-31,18337
2022-04-01,18775
2022-04-02,21921
2022-04-03,33409
2022-04-04,34315
2022-04-05,36452
2022-04-06,23174
2022-04-07,24508
2022-04-08,27450
2022-04-09,41272
2022-04-10,47360
2022-04-11,30812
2022-04-12,26507
2022-04-13,23088
2022-04-14,22423
2022-04-15,23309
2022-04-16,34876
2022-04-17,38278
2022-04-18,24281
2022-04-19,24949
2022-04-20,27119
2022-04-21,27533
2022-04-22,32034
2022-04-23,51943
2022-04-24,45025
2022-04-25,32332
2022-04-26,34890
2022-04-27,31744
2022-04-28,34527
2022-04-29,35989
2022-04-30,58796
2022-05-01,77749
2022-05-02,74165
2022-05-03,65791
2022-05-04,62153
2022-05-05,43038
2022-05-06,43235
2022-05-07,51946
2022-05-08,82889
2022-05-09,31417
2022-05-10,29861
2022-05-11,29224
2022-05-12,28485
2022-05-13,33245
2022-05-14,49937
2022-05-15,55065
2022-05-16,36827
2022-05-17,36683
2022-05-18,39458
2022-05-19,41022
2022-05-20,61594
2022-05-21,72667
2022-05-22,76558
2022-05-23,45141
2022-05-24,42640
2022-05-25,38903
